problem,scenario,drying_time_h,difference_min
3,基准PCHIP与名义恒温值,57.48078732720491,0.0
3,线性插值与名义恒温值,57.48078473902845,-0.00015529058742913548
3,线性插值与末次实测值,57.17782210283903,-18.17791346195264
3,线性插值与末小时均值,57.4825966407252,0.10855881121742073
4,基准PCHIP与名义恒温值,51.09176172661042,0.0
4,线性插值与名义恒温值,51.091756105176415,-0.0003372860403771938
4,线性插值与末次实测值,50.82537418883294,-15.983252266648975
4,线性插值与末小时均值,51.093294803815176,0.09198463228528908
4,半径改用线性插值,51.0952600080043,0.20989688363286518
